G1Q00004,G2Q00007,G1Q00008,region,postulacion_final,rango_etario,conteo
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,CABA,BUENOS AIRES,Sí,31 a 40 años,1
Mujer,Hasta cinco años,Santa Fe,CENTRO,Sí,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,41 a 50 años,1
Mujer,Cinco años o más,San Juan,CUYO,Sí,41 a 50 años,1
Mujer,Hasta dos años,Córdoba,CENTRO,Sí,41 a 50 años,1
Mujer,Cinco años o más,Entre Ríos,CENTRO,Sí,41 a 50 años,1
Mujer,Hasta cinco años,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Mujer,Cinco años o más,Formosa,NEA,Sí,51 a 60 años,1
Otro,Hasta cinco años,CABA,BUENOS AIRES,No,61 a 70 años,1
Mujer,Hasta dos años,Chaco,NEA,Sí,21 a 30 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Formosa,NEA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Entre Ríos,CENTRO,Sí,41 a 50 años,1
Mujer,Cinco años o más,Buenos Aires,BUENOS AIRES,Sí,51 a 60 años,1
Varón,Hasta cinco años,Salta,NOA,Sí,31 a 40 años,1
Varón,Cinco años o más,Entre Ríos,CENTRO,No,51 a 60 años,1
Mujer,Hasta dos años,Misiones,NEA,No,21 a 30 años,1
Mujer,Hasta cinco años,CABA,BUENOS AIRES,Sí,51 a 60 años,1
Varón,Hasta dos años,Tierra del Fuego,PATAGONIA,Sí,21 a 30 años,1
Mujer,Cinco años o más,Córdoba,CENTRO,Sí,21 a 30 años,1
Mujer,Cinco años o más,Buenos Aires,BUENOS AIRES,No,31 a 40 años,1
Varón,Cinco años o más,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Santiago del Estero,NOA,Sí,31 a 40 años,1
Mujer,Hasta dos años,Chaco,NEA,Sí,21 a 30 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Buenos Aires,BUENOS AIRES,No,51 a 60 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,No,51 a 60 años,1
Mujer,Cinco años o más,Córdoba,CENTRO,Sí,31 a 40 años,1
Mujer,Hasta dos años,Santa Fe,CENTRO,No,31 a 40 años,1
Varón,Hasta dos años,Mendoza,CUYO,Sí,51 a 60 años,1
Varón,Hasta dos años,Buenos Aires,BUENOS AIRES,No,21 a 30 años,1
Mujer,Hasta dos años,Jujuy,NOA,Sí,41 a 50 años,1
Mujer,Hasta cinco años,Buenos Aires,BUENOS AIRES,Sí,61 a 70 años,1
